,epochs,depth_conv,depth_dense,filters,kernel_size,activation,l2_reg,batch_norm,dropout,pooling,pool_size,padding,dilation_rate,stride,subsampling_factor,look_back,target_steps_ahead,fold_set,loss,acc,roc-auc,recall
exp1,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,100,0,0,0.18881,0.93963,0.91561,0.57667
exp2,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,100,0,0,0.33279,0.91735,0.92951,0.68000
exp3,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,200,0,0,0.23869,0.93645,0.93728,0.65600
exp4,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,200,0,0,0.28886,0.93185,0.96497,0.35933
exp5,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,500,0,0,0.29960,0.91205,0.92944,0.65200
exp6,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,500,0,0,0.19487,0.93325,0.96191,0.47667
exp7,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,100,0,0,0.23130,0.92415,0.92337,0.28867
exp8,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,100,0,0,0.33209,0.92315,0.92343,0.34400
exp9,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,200,0,0,0.23096,0.92070,0.94765,0.25400
exp10,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,200,0,0,0.14455,0.93972,0.97141,0.43400
exp11,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,500,0,0,0.30377,0.89880,0.92330,0.23200
exp12,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,500,0,0,0.20234,0.93505,0.96400,0.48733
exp13,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,100,0,1,0.21722,0.93569,0.90330,0.45846
exp14,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,100,0,1,0.28817,0.92142,0.81969,0.16538
exp15,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,200,0,1,0.29847,0.93405,0.88199,0.29308
exp16,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,200,0,1,0.33210,0.91923,0.88834,0.06923
exp17,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,500,0,1,0.27298,0.91399,0.88848,0.01077
exp18,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,500,0,1,0.40485,0.92074,0.84162,0.14385
exp19,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,100,0,1,0.13594,0.95451,0.93460,0.58077
exp20,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,100,0,1,0.18195,0.93763,0.92279,0.29462
exp21,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,200,0,1,0.23146,0.91356,0.91737,0.00385
exp22,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,200,0,1,0.22711,0.93098,0.92627,0.21538
exp23,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,500,0,1,0.19919,0.91720,0.96731,0.04769
exp24,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,500,0,1,0.26840,0.91559,0.91495,0.02923
exp25,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,100,0,2,0.21805,0.95117,0.89069,0.56571
exp26,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,100,0,2,0.11318,0.96625,0.96993,0.70786
exp27,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,200,0,2,0.16023,0.95414,0.95976,0.56857
exp28,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,200,0,2,0.30725,0.92477,0.93676,0.22857
exp29,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,500,0,2,0.20721,0.95592,0.93013,0.53857
exp30,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,1,2,500,0,2,0.09589,0.96950,0.97756,0.75929
exp31,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,100,0,2,0.15925,0.95170,0.93900,0.58286
exp32,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,100,0,2,0.12545,0.96104,0.96213,0.69071
exp33,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,200,0,2,0.13223,0.95801,0.96183,0.57214
exp34,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,200,0,2,0.10232,0.96809,0.97297,0.69071
exp35,10,2,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,500,0,2,0.13881,0.94930,0.98551,0.90000
exp36,10,3,2,64,3,relu,5e-1,True,0.4,True,2,causal,3,5,2,500,0,2,0.08942,0.97305,0.97965,0.74571
