,epochs,depth_lstm,depth_dense,units_lstm,activation,l2_reg,batch_norm,dropout,stride,subsampling_factor,look_back,target_steps_ahead,fold_set,loss,acc,roc-auc,recall
exp1,15,1,2,256,relu,5e-1,True,0.4,1,2,100,0,0,0.48035,0.90855,0.85304,0.26867
exp2,15,1,2,256,relu,5e-1,True,0.4,1,2,200,0,0,0.42302,0.91643,0.82265,0.19333
exp3,15,1,2,256,relu,5e-1,True,0.4,1,2,500,0,0,1.67151,0.10033,0.55482,1.00000
exp4,15,1,2,256,relu,5e-1,True,0.4,5,2,100,0,0,0.29729,0.92976,0.85465,0.45200
exp5,15,1,2,256,relu,5e-1,True,0.4,5,2,200,0,0,0.28602,0.90188,0.86473,0.18867
exp6,15,1,2,256,relu,5e-1,True,0.4,5,2,500,0,0,0.29923,0.92883,0.93855,0.72867
exp7,15,1,2,256,relu,5e-1,True,0.4,1,2,100,0,1,0.30840,0.92409,0.95039,0.12462
exp8,15,1,2,256,relu,5e-1,True,0.4,1,2,200,0,1,0.09856,0.97597,0.95050,0.76923
exp9,15,1,2,256,relu,5e-1,True,0.4,1,2,500,0,1,0.39242,0.91305,0.60097,0.00000
exp10,15,1,2,256,relu,5e-1,True,0.4,5,2,100,0,1,0.19922,0.93603,0.88686,0.27615
exp11,15,1,2,256,relu,5e-1,True,0.4,5,2,200,0,1,0.21966,0.94233,0.75053,0.37538
exp12,15,1,2,256,relu,5e-1,True,0.4,5,2,500,0,1,0.36435,0.91305,0.52223,0.00000
exp13,15,1,2,256,relu,5e-1,True,0.4,1,2,100,0,2,0.11533,0.96718,0.97413,0.84357
exp14,15,1,2,256,relu,5e-1,True,0.4,1,2,200,0,2,0.14136,0.96702,0.95608,0.77643
exp15,15,1,2,256,relu,5e-1,True,0.4,1,2,500,0,2,0.92953,0.80423,0.88789,0.75357
exp16,15,1,2,256,relu,5e-1,True,0.4,5,2,100,0,2,1.46525,0.67140,0.93364,0.95357
exp17,15,1,2,256,relu,5e-1,True,0.4,5,2,200,0,2,1.40874,0.53127,0.81284,0.91000
exp18,15,1,2,256,relu,5e-1,True,0.4,5,2,500,0,2,0.16750,0.95338,0.91701,0.61929
