,n_estimators,max_depth,weighted,fold_set,brier_loss,loss,acc,roc-auc,recall
exp1,100,10,True,0,0.11964,0.40310,0.87207,0.65544,0.14107
exp2,100,10,False,0,0.11964,0.40310,0.87207,0.65544,0.14107
exp3,100,8,True,0,0.13456,0.44102,0.85818,0.68566,0.25493
exp4,100,8,False,0,0.13456,0.44102,0.85818,0.68566,0.25493
exp5,100,6,True,0,0.15659,0.49553,0.85259,0.69018,0.30167
exp6,100,6,False,0,0.15659,0.49553,0.85259,0.69018,0.30167
exp7,100,5,True,0,0.16468,0.51456,0.85761,0.70079,0.33507
exp8,100,5,False,0,0.16468,0.51456,0.85761,0.70079,0.33507
exp9,100,4,True,0,0.18116,0.55063,0.83477,0.69449,0.36347
exp10,100,4,False,0,0.18116,0.55063,0.83477,0.69449,0.36347
exp11,80,10,True,0,0.11824,0.40021,0.87393,0.66440,0.14867
exp12,80,10,False,0,0.11824,0.40021,0.87393,0.66440,0.14867
exp13,80,8,True,0,0.13381,0.44017,0.86221,0.69121,0.25493
exp14,80,8,False,0,0.13381,0.44017,0.86221,0.69121,0.25493
exp15,80,6,True,0,0.15855,0.50035,0.85335,0.69299,0.30500
exp16,80,6,False,0,0.15855,0.50035,0.85335,0.69299,0.30500
exp17,80,5,True,0,0.16424,0.51410,0.86291,0.70572,0.33853
exp18,80,5,False,0,0.16424,0.51410,0.86291,0.70572,0.33853
exp19,80,4,True,0,0.18255,0.55417,0.84307,0.70114,0.37340
exp20,80,4,False,0,0.18255,0.55417,0.84307,0.70114,0.37340
exp21,60,10,True,0,0.11839,0.40035,0.87283,0.65932,0.14673
exp22,60,10,False,0,0.11839,0.40035,0.87283,0.65932,0.14673
exp23,60,8,True,0,0.13316,0.43786,0.86014,0.69252,0.24520
exp24,60,8,False,0,0.13316,0.43786,0.86014,0.69252,0.24520
exp25,60,6,True,0,0.15759,0.49815,0.85541,0.69652,0.30640
exp26,60,6,False,0,0.15759,0.49815,0.85541,0.69652,0.30640
exp27,60,5,True,0,0.16197,0.50896,0.86391,0.69950,0.31493
exp28,60,5,False,0,0.16197,0.50896,0.86391,0.69950,0.31493
exp29,60,4,True,0,0.18009,0.54875,0.84290,0.71048,0.37727
exp30,60,4,False,0,0.18009,0.54875,0.84290,0.71048,0.37727
exp31,40,10,True,0,0.11924,0.40282,0.87307,0.66074,0.15480
exp32,40,10,False,0,0.11924,0.40282,0.87307,0.66074,0.15480
exp33,40,8,True,0,0.13275,0.43704,0.86125,0.68519,0.24853
exp34,40,8,False,0,0.13275,0.43704,0.86125,0.68519,0.24853
exp35,40,6,True,0,0.15449,0.49089,0.85784,0.70310,0.31913
exp36,40,6,False,0,0.15449,0.49089,0.85784,0.70310,0.31913
exp37,40,5,True,0,0.15899,0.50196,0.86111,0.71179,0.32900
exp38,40,5,False,0,0.15899,0.50196,0.86111,0.71179,0.32900
exp39,40,4,True,0,0.17741,0.54280,0.84301,0.70217,0.35927
exp40,40,4,False,0,0.17741,0.54280,0.84301,0.70217,0.35927
exp41,20,10,True,0,0.11949,0.40613,0.87534,0.66031,0.17620
exp42,20,10,False,0,0.11949,0.40613,0.87534,0.66031,0.17620
exp43,20,8,True,0,0.12588,0.41960,0.86833,0.71415,0.26280
exp44,20,8,False,0,0.12588,0.41960,0.86833,0.71415,0.26280
exp45,20,6,True,0,0.15729,0.49676,0.84615,0.70073,0.31680
exp46,20,6,False,0,0.15729,0.49676,0.84615,0.70073,0.31680
exp47,20,5,True,0,0.15673,0.49696,0.86421,0.72767,0.34027
exp48,20,5,False,0,0.15673,0.49696,0.86421,0.72767,0.34027
exp49,20,4,True,0,0.17702,0.54214,0.84476,0.71263,0.37580
exp50,20,4,False,0,0.17702,0.54214,0.84476,0.71263,0.37580
exp51,100,10,True,1,0.06646,0.23919,0.91598,0.80491,0.03477
exp52,100,10,False,1,0.06646,0.23919,0.91598,0.80491,0.03477
exp53,100,8,True,1,0.06706,0.24135,0.91386,0.79941,0.01146
exp54,100,8,False,1,0.06706,0.24135,0.91386,0.79941,0.01146
exp55,100,6,True,1,0.06932,0.24904,0.91333,0.79356,0.00000
exp56,100,6,False,1,0.06932,0.24904,0.91333,0.79356,0.00000
exp57,100,5,True,1,0.07053,0.25536,0.91333,0.77166,0.00000
exp58,100,5,False,1,0.07053,0.25536,0.91333,0.77166,0.00000
exp59,100,4,True,1,0.07144,0.25843,0.91333,0.78009,0.00000
exp60,100,4,False,1,0.07144,0.25843,0.91333,0.78009,0.00000
exp61,80,10,True,1,0.06623,0.23800,0.91595,0.80854,0.03608
exp62,80,10,False,1,0.06623,0.23800,0.91595,0.80854,0.03608
exp63,80,8,True,1,0.06701,0.24090,0.91380,0.80172,0.01154
exp64,80,8,False,1,0.06701,0.24090,0.91380,0.80172,0.01154
exp65,80,6,True,1,0.06930,0.24902,0.91333,0.79490,0.00000
exp66,80,6,False,1,0.06930,0.24902,0.91333,0.79490,0.00000
exp67,80,5,True,1,0.07023,0.25446,0.91333,0.77362,0.00000
exp68,80,5,False,1,0.07023,0.25446,0.91333,0.77362,0.00000
exp69,80,4,True,1,0.07139,0.25809,0.91333,0.78520,0.00000
exp70,80,4,False,1,0.07139,0.25809,0.91333,0.78520,0.00000
exp71,60,10,True,1,0.06653,0.23933,0.91567,0.80463,0.03108
exp72,60,10,False,1,0.06653,0.23933,0.91567,0.80463,0.03108
exp73,60,8,True,1,0.06716,0.24149,0.91418,0.80044,0.01469
exp74,60,8,False,1,0.06716,0.24149,0.91418,0.80044,0.01469
exp75,60,6,True,1,0.06914,0.24842,0.91333,0.79664,0.00000
exp76,60,6,False,1,0.06914,0.24842,0.91333,0.79664,0.00000
exp77,60,5,True,1,0.06960,0.25182,0.91333,0.78403,0.00000
exp78,60,5,False,1,0.06960,0.25182,0.91333,0.78403,0.00000
exp79,60,4,True,1,0.07126,0.25757,0.91333,0.78701,0.00000
exp80,60,4,False,1,0.07126,0.25757,0.91333,0.78701,0.00000
exp81,40,10,True,1,0.06613,0.23844,0.91635,0.80530,0.04146
exp82,40,10,False,1,0.06613,0.23844,0.91635,0.80530,0.04146
exp83,40,8,True,1,0.06684,0.24115,0.91493,0.79691,0.02546
exp84,40,8,False,1,0.06684,0.24115,0.91493,0.79691,0.02546
exp85,40,6,True,1,0.06889,0.24734,0.91335,0.79954,0.00015
exp86,40,6,False,1,0.06889,0.24734,0.91335,0.79954,0.00015
exp87,40,5,True,1,0.06932,0.25075,0.91333,0.78450,0.00000
exp88,40,5,False,1,0.06932,0.25075,0.91333,0.78450,0.00000
exp89,40,4,True,1,0.07105,0.25716,0.91333,0.78046,0.00000
exp90,40,4,False,1,0.07105,0.25716,0.91333,0.78046,0.00000
exp91,20,10,True,1,0.06635,0.23963,0.91724,0.79883,0.05985
exp92,20,10,False,1,0.06635,0.23963,0.91724,0.79883,0.05985
exp93,20,8,True,1,0.06647,0.24074,0.91788,0.79325,0.06354
exp94,20,8,False,1,0.06647,0.24074,0.91788,0.79325,0.06354
exp95,20,6,True,1,0.07013,0.25229,0.91341,0.77934,0.00115
exp96,20,6,False,1,0.07013,0.25229,0.91341,0.77934,0.00115
exp97,20,5,True,1,0.07039,0.25484,0.91332,0.76768,0.00008
exp98,20,5,False,1,0.07039,0.25484,0.91332,0.76768,0.00008
exp99,20,4,True,1,0.07089,0.25578,0.91333,0.78849,0.00000
exp100,20,4,False,1,0.07089,0.25578,0.91333,0.78849,0.00000
exp101,100,10,True,2,0.06827,0.24243,0.90845,0.82925,0.01921
exp102,100,10,False,2,0.06827,0.24243,0.90845,0.82925,0.01921
exp103,100,8,True,2,0.06963,0.24858,0.90688,0.81297,0.00229
exp104,100,8,False,2,0.06963,0.24858,0.90688,0.81297,0.00229
exp105,100,6,True,2,0.07242,0.25765,0.90667,0.80276,0.00000
exp106,100,6,False,2,0.07242,0.25765,0.90667,0.80276,0.00000
exp107,100,5,True,2,0.07350,0.26200,0.90667,0.79751,0.00000
exp108,100,5,False,2,0.07350,0.26200,0.90667,0.79751,0.00000
exp109,100,4,True,2,0.07572,0.26970,0.90667,0.78575,0.00000
exp110,100,4,False,2,0.07572,0.26970,0.90667,0.78575,0.00000
exp111,80,10,True,2,0.06835,0.24260,0.90830,0.82814,0.01764
exp112,80,10,False,2,0.06835,0.24260,0.90830,0.82814,0.01764
exp113,80,8,True,2,0.06962,0.24872,0.90685,0.81243,0.00193
exp114,80,8,False,2,0.06962,0.24872,0.90685,0.81243,0.00193
exp115,80,6,True,2,0.07332,0.26060,0.90667,0.79365,0.00000
exp116,80,6,False,2,0.07332,0.26060,0.90667,0.79365,0.00000
exp117,80,5,True,2,0.07410,0.26375,0.90667,0.79652,0.00000
